transaction_id,customer_id,product_id,qty,unit_price,amount,order_date,status
1,169,8,6,3789.04,22734.24,2023-03-29 08:16,completed
2,46,32,6,2145.84,12875.04,2023-03-27 19:32,completed
3,160,50,1,1409.87,1409.87,2023-01-02 00:32,pending
4,158,33,4,2004.66,8018.64,2023-04-13 01:37,completed
5,174,50,2,1409.87,2819.74,2023-04-16 22:43,completed
6,61,3,6,3069.48,18416.88,2023-01-09 05:08,completed
7,160,41,2,3272.83,6545.66,2023-09-21 07:49,completed
8,84,47,7,3360.76,23525.32,2024-04-03 19:15,completed
9,58,22,3,4230.44,12691.32,2023-05-07 08:41,completed
10,12,23,9,3749.23,33743.07,2023-10-28 18:57,completed
11,100,45,8,522.28,4178.24,2023-11-05 22:31,completed
12,82,6,2,1985.75,3971.5,2023-12-18 08:58,completed
13,35,29,6,1516.55,9099.3,2023-07-26 00:06,completed
14,94,21,8,4807.8,38462.4,2024-02-08 04:03,completed
15,126,20,8,2628.13,21025.04,2024-02-24 20:33,completed
16,66,15,2,2005.99,4011.98,2023-10-22 09:50,completed
17,125,12,3,205.0,615.0,2023-08-25 17:39,completed
18,99,26,8,4828.01,38624.08,2023-04-10 15:29,completed
19,172,14,2,2276.28,4552.56,2024-01-10 04:04,completed
20,41,47,8,3360.76,26886.08,2023-08-19 19:01,completed
21,145,25,9,2954.42,26589.78,2023-01-28 01:34,completed
22,193,40,8,4635.19,37081.52,2023-10-28 22:46,completed
23,10,3,6,3069.48,18416.88,2023-09-27 15:09,completed
24,76,30,9,868.07,7812.63,2023-09-14 04:19,completed
25,1,20,9,2628.13,23653.17,2023-04-17 04:46,completed
26,165,49,1,2976.92,2976.92,2023-06-05 14:14,completed
27,189,20,2,2628.13,5256.26,2023-11-30 01:08,completed
28,20,26,1,4828.01,4828.01,2023-04-29 02:05,completed
29,59,5,1,908.16,908.16,2023-07-25 11:41,completed
30,43,34,9,1502.77,13524.93,2023-11-02 06:30,completed
31,171,50,7,1409.87,9869.09,2024-03-03 05:19,completed
32,126,45,4,522.28,2089.12,2023-12-02 17:41,completed
33,8,50,5,1409.87,7049.35,2023-05-09 22:07,completed
34,102,5,6,908.16,5448.96,2023-06-24 01:00,completed
35,171,10,2,1079.31,2158.62,2023-05-25 07:46,completed
36,76,27,8,3054.82,24438.56,2023-12-11 13:03,completed
37,147,31,5,127.4,637.0,2023-10-31 04:40,completed
38,194,50,6,1409.87,8459.22,2023-06-10 08:24,pending
39,73,13,9,4219.31,37973.79,2023-11-20 01:37,completed
40,102,19,6,2873.7,17242.2,2024-04-26 17:12,completed
41,83,45,1,522.28,522.28,2023-12-10 21:06,completed
42,143,1,7,1243.08,8701.56,2023-05-23 20:18,completed
43,161,49,1,2976.92,2976.92,2023-10-18 11:37,completed
44,99,8,2,3789.04,7578.08,2023-01-03 20:25,cancelled
45,194,6,5,1985.75,9928.75,2023-08-09 11:04,completed
46,37,15,4,2005.99,8023.96,2023-02-12 15:22,completed
47,108,43,5,4257.69,21288.45,2024-02-11 10:54,pending
48,117,15,9,2005.99,18053.91,2023-02-20 14:03,cancelled
49,19,34,4,1502.77,6011.08,2024-01-08 19:45,completed
50,156,35,8,119.7,957.6,2023-05-24 09:35,completed
51,2,49,4,2976.92,11907.68,2023-03-31 10:06,completed
52,74,39,7,3049.5,21346.5,2023-11-08 16:41,completed
53,184,36,4,1034.27,4137.08,2024-03-27 21:06,completed
54,172,45,7,522.28,3655.96,2023-04-28 20:21,completed
55,26,9,8,2154.52,17236.16,2024-01-13 09:07,completed
56,49,26,5,4828.01,24140.05,2023-02-19 18:35,completed
57,89,18,3,1666.38,4999.14,2024-03-14 17:04,completed
58,108,34,1,1502.77,1502.77,2024-03-07 04:14,completed
59,199,32,9,2145.84,19312.56,2023-03-18 01:34,completed
60,146,3,6,3069.48,18416.88,2023-06-16 08:48,completed
61,24,46,3,1885.55,5656.65,2023-08-06 05:41,pending
62,109,46,4,1885.55,7542.2,2023-12-19 03:02,completed
63,97,6,9,1985.75,17871.75,2024-05-31 11:26,completed
64,8,38,8,3961.37,31690.96,2023-03-08 21:43,completed
65,3,22,6,4230.44,25382.64,2023-05-10 22:43,completed
66,35,34,7,1502.77,10519.39,2023-04-26 07:21,completed
67,36,5,9,908.16,8173.44,2023-11-07 15:41,completed
